fname,lname,sex,email,address,city,state,zip code,how did you hear about us?,preferred user
Helen,Adams,f ,Helen.J.Adams@trashymail.com,100 1ST ST,ZUMBRO FALLS,MN  ,55991,http://ft.com,TRUE
Richard,Bailey,m ,Richard.V.Bailey@pookmail.com,10650 WOOD RIDGE DR,ZEELAND,MI  ,49464,http://lenovo.com,FALSE
Chris,Slater,m ,Chris.B.Slater@trashymail.com,10948 JAMES ST,ZEELAND,MI  ,49464,http://ap.org,FALSE
Franklin,Aiello,m ,Franklin.C.Aiello@spambob.com,118 4TH AVE E,ZAP,ND  ,58580,http://speedtest.net,FALSE
Rick,Cloutier,m ,Rick.V.Cloutier@trashymail.com,1060 MILITARY RD APT 25,ZANESVILLE,OH  ,43701,http://coolmath-games.com,FALSE
Tracey,Cline,f ,Tracey.D.Cline@mailinator.com,10789 NW 35TH ST,YUKON,OK  ,73099,http://winzip.com,FALSE
David,Stewart,m ,David.R.Stewart@trashymail.com,1077 WESTRIDGE DR,YUKON,OK  ,73099,http://walmart.com,TRUE
James,Combs,m ,James.K.Combs@dodgit.com,10433 N 7TH ST,YUKON,OK  ,73099,http://reference.com,TRUE
Kami,Joseph,f ,Kami.Z.Joseph@mailinator.com,1076 NOBLE CT,YUKON,OK  ,73099,http://linkedin.com,FALSE
John,Huls,m ,John.T.Huls@trashymail.com,10009 NW 122ND ST,YUKON,OK  ,73099,http://jcpenney.com,TRUE
Elsie,Davis,f ,Elsie.A.Davis@spambob.com,1090 STATE HIGHWAY 263 # 4135,YREKA,CA  ,96097,http://searchnu.com,FALSE
Jonathan,Gordon,m ,Jonathan.H.Gordon@pookmail.com,1025 LANGLINAIS RD LOT 36,YOUNGSVILLE,LA  ,70592,http://gawker.com,FALSE
Christopher,Smith,m ,Christopher.J.Smith@mailinator.com,1012 BRYSON ST,YOUNGSTOWN,OH  ,44505,http://tasteofhome.com,FALSE
David,Ruiz,m ,David.K.Ruiz@spambob.com,1024AP MAHONING AVE STE 8,YOUNGSTOWN,OH  ,44502,http://everydayhealth.com,TRUE
Kieth,Bernardino,m ,Kieth.C.Bernardino@trashymail.com,1 UNIVERSITY PLZ,YOUNGSTOWN,OH  ,44555,http://bestbuy.com,FALSE
Mark,Murray,m ,Mark.W.Murray@trashymail.com,101 SOUTHERN PARK MALL,YOUNGSTOWN,OH  ,44512,http://geico.com,FALSE
Robert,Sanford,m ,Robert.C.Sanford@trashymail.com,1000 BANK ONE BLDG,YOUNGSTOWN,OH  ,44503,http://kijiji.ca,FALSE
Sylvia,Dyer,f ,Sylvia.J.Dyer@dodgit.com,1 CAMBRIDGE CT,YORKTOWN HEIGHTS,NY  ,10598,http://theexgirlfriends.com,TRUE
Mike,Zabel,m ,Mike.J.Zabel@spambob.com,1 PINEFIELD LN,YORK,ME  ,3909,http://wordpress.org,FALSE
Joyce,Church,f ,Joyce.T.Church@pookmail.com,1 WATERFORD PROFESSIONAL CTR STE D,YORK,PA  ,17402,http://comcast.com,TRUE
Patricia,Scott,f ,Patricia.J.Scott@pookmail.com,100 A ST,YORK,NE  ,68467,http://peoplestylewatch.com,TRUE
Emily,Edgington,f ,Emily.L.Edgington@mailinator.com,1 FERNCROFT RD,YORK,ME  ,3909,http://stylebistro.com,TRUE
Jacqueline,Stone,f ,Jacqueline.J.Stone@mailinator.com,1 RIVERBEND RD,YORK,ME  ,3909,http://tomshardware.com,FALSE
Carla,Saffold,f ,Carla.B.Saffold@trashymail.com,1058 ROAD 7,YORK,NE  ,68467,http://backpage.com,TRUE
Jesse,Harrison,m ,Jesse.R.Harrison@spambob.com,102 DICKERSON ST,YORK,SC  ,29745,http://autoblog.com,FALSE
Gary,Phillips,m ,Gary.D.Phillips@dodgit.com,1012 S PINE ST APT 1,YORK,PA  ,17403,http://vertitechnologygroup.com,TRUE
Karolyn,Delgado,f ,Karolyn.A.Delgado@pookmail.com,1 DEMARTINO AVE,YONKERS,NY  ,10703,http://fedex.com,FALSE
Beverly,Dry,f ,Beverly.D.Dry@dodgit.com,100 DEHAVEN DR APT AM-101,YONKERS,NY  ,10703,http://microsoft.com,TRUE
Fernando,Jones,m ,Fernando.T.Jones@trashymail.com,1 HEARTHSTONE RD,YONKERS,NY  ,10710,http://instantcheckmate.com,FALSE
Wilbur,Sanchez,m ,Wilbur.O.Sanchez@pookmail.com,1014 FM 966,YOAKUM,TX  ,77995,http://myflorida.com,TRUE
Eddie,Lawson,m ,Eddie.C.Lawson@spambob.com,114 SE WHITLEY RD,YOAKUM,TX  ,77995,http://autozone.com,TRUE
Harley,Ellison,m ,Harley.K.Ellison@dodgit.com,118 CALLE SAN MIGUEL PMB 22108,YAUCO,PR  ,698,http://rediff.com,FALSE
Joy,Couture,f ,Joy.G.Couture@spambob.com,11 CALLE FRANCISCO ROJAS TOLLIN,YAUCO,PR  ,698,http://staples.com,TRUE
Alma,Darrah,f ,Alma.D.Darrah@mailinator.com,11 CALLE A HERNANDEZ,YAUCO,PR  ,698,http://discovery.com,TRUE
Bryan,Key,m ,Bryan.J.Key@trashymail.com,11 CALLE ABOLICION,YAUCO,PR  ,698,http://twitpic.com,FALSE
Jeannette,Brown,f ,Jeannette.J.Brown@spambob.com,11 CALLE A,YAUCO,PR  ,698,http://shopping.com,FALSE
Haywood,Metzger,m ,Haywood.L.Metzger@mailinator.com,1 CALLE 5,YAUCO,PR  ,698,http://search-results.com,TRUE
Richard,Grady,m ,Richard.S.Grady@trashymail.com,1 CALLE 12,YAUCO,PR  ,698,http://netflix.com,TRUE
Daniel,Williams,m ,Daniel.A.Williams@trashymail.com,1 CALLE A ALTAMIRA,YAUCO,PR  ,698,http://ebay.co.uk,TRUE
David,Hernandez,m ,David.F.Hernandez@mailinator.com,1 CALLE A EST DE GRAN VISTA,YAUCO,PR  ,698,http://zazzle.com,TRUE
Robert,Brown,m ,Robert.L.Brown@trashymail.com,1 CALLE MARGINAL,YAUCO,PR  ,698,http://directv.com,TRUE
James,Lantz,m ,James.L.Lantz@spambob.com,1 CALLE 15,YAUCO,PR  ,698,http://instagram.com,FALSE
Donna,Yocum,f ,Donna.I.Yocum@dodgit.com,1 CALLE A,YAUCO,PR  ,698,http://autotrader.com,TRUE
Mary,Minaya,f ,Mary.R.Minaya@mailinator.com,10 CALLE 8,YAUCO,PR  ,698,http://mayoclinic.com,TRUE
Joyce,Marr,f ,Joyce.T.Marr@trashymail.com,1 CALLE 1RO DE MAYO,YAUCO,PR  ,698,http://ca.gov,FALSE
